0.200000	0.000178	0.000092	0.000615	0.000343	0.000177	0.000092	0.000614	0.000344
0.400000	0.000386	0.000181	0.001263	0.000657	0.000384	0.000181	0.001258	0.000652
0.600000	0.000586	0.000281	0.002024	0.001114	0.000586	0.000280	0.002022	0.001108
0.800000	0.000772	0.000385	0.002641	0.001490	0.000764	0.000377	0.002633	0.001470
1.000000	0.000899	0.000463	0.003105	0.001712	0.000895	0.000462	0.003085	0.001693
1.200000	0.001038	0.000543	0.003675	0.001926	0.001035	0.000538	0.003682	0.001892
1.400000	0.001232	0.000607	0.004234	0.002423	0.001225	0.000599	0.004235	0.002421
1.600000	0.001441	0.000791	0.004945	0.002722	0.001435	0.000802	0.004915	0.002725
1.800000	0.001629	0.000847	0.005250	0.003003	0.001624	0.000848	0.005223	0.002995
2.000000	0.001686	0.000925	0.005853	0.003342	0.001692	0.000915	0.005858	0.003309
2.200000	0.002045	0.001022	0.006958	0.003784	0.002039	0.001034	0.006878	0.003814
2.400000	0.002229	0.001040	0.007610	0.003969	0.002215	0.001040	0.007603	0.004013
2.600000	0.002350	0.001188	0.008297	0.004672	0.002346	0.001187	0.008217	0.004667
2.800000	0.002354	0.001182	0.008079	0.004001	0.002341	0.001162	0.008038	0.003943
3.000000	0.002554	0.001302	0.009096	0.004898	0.002536	0.001289	0.009034	0.004832
